,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
1598,601366,利群股份,0.35,0.0,,6.34,,29713.12,8.38,,10-29
1599,002573,清新环境,0.46,-20.44,,10.95,,49501.83,-19.84,,10-29
1600,300306,远方信息,0.0,-98.89,,0.06,,117.64,-98.86,,10-29
1601,002284,亚太股份,0.05,-56.36,,1.25,,3534.28,-55.58,,10-29
1602,300651,金陵体育,0.36,1.91,,4.32,,2701.5,32.37,,10-29
1603,300667,必创科技,0.11,-42.11,,3.12,,1138.9,20.68,,10-29
1604,300683,海特生物,0.74,-29.52,,4.58,,7598.58,-30.07,,10-29
1605,300735,光弘科技,0.5,-5.7,,10.6,,17728.32,25.91,,10-29
1606,600536,中国软件,-0.48,14.29,,-12.12,,-23964.26,15.86,,10-29
1607,300468,四方精创,0.28,-45.2,,5.51,,5498.35,1.82,,10-29
1608,002772,众兴菌业,0.29,0.94,,3.96,,10590.85,0.94,,10-29
1609,300161,华中数控,-0.34,-1083.62,,-5.3,,-5913.85,-1083.46,,10-29
1610,300550,和仁科技,0.32,23.08,,4.94,,2568.86,24.26,,10-29
1611,603527,众源新材,0.41,-33.87,,8.6,,7124.41,18.17,,10-29
1612,002337,赛象科技,-0.03,-127.27,,-1.25,,-1508.66,-123.62,,10-29
1613,300705,九典制药,0.19,-64.15,,6.57,,4442.06,-4.17,,10-29
1614,300722,新余国科,0.44,-4.35,,8.94,,3546.33,28.24,,10-29
1615,002128,露天煤业,0.92,26.03,,13.22,,150855.1,25.7,,10-29
1616,300182,捷成股份,0.31,3.33,,7.8,,79282.23,2.82,,10-29
1617,300505,川金诺,0.45,7.05,,6.14,,4166.63,7.06,,10-29
1618,300231,银信科技,0.23,-13.44,,12.25,,10025.93,11.7,,10-29
1619,300555,路通视信,0.07,-51.71,,2.13,,1352.45,-53.32,,10-29
1620,300411,金盾股份,0.13,-38.91,,1.86,,6374.4,81.88,,10-29
1621,002387,维信诺,-0.13,0.31,,-1.24,,-15212.33,149.65,,10-29
1622,300742,越博动力,0.33,-19.51,,2.54,,2252.93,-7.55,,10-29
1623,300120,经纬辉开,0.24,184.95,,5.13,,9229.02,439.32,,10-29
1624,603105,芯能科技,0.17,30.77,,6.32,,7187.54,30.74,,10-29
1625,002831,裕同科技,1.36,-11.22,,10.5,,54255.0,-11.22,,10-29
1626,002906,华阳集团,0.08,-83.77,,1.08,,3776.18,-80.8,,10-29
1627,300334,津膜科技,0.02,466.67,,0.31,,515.81,499.0,,10-29
1628,300028,金亚科技,0.1,-219.68,,18.78,,3597.55,-219.64,,10-29
1629,600066,宇通客车,0.54,-37.21,,7.61,,119772.87,-37.04,,10-29
1630,300384,三联虹普,0.35,-24.7,,6.84,,11114.17,50.31,,10-29
1631,300712,永福股份,0.4,-27.51,,6.26,,5584.71,-2.7,,10-29
1632,002376,新北洋,0.4,33.33,,9.0,,26089.53,36.14,,10-29
1633,300093,金刚玻璃,0.07,3.44,,1.59,,1430.87,3.57,,10-29
1634,002103,广博股份,0.1,-37.5,,3.02,,5345.56,-37.45,,10-29
1635,300464,星徽精密,0.01,-90.0,,0.33,,85.05,-95.86,,10-29
