,code,name,code_num
443,000980.XSHE,众泰汽车,000980
444,000981.XSHE,银亿股份,000981
445,000982.XSHE,*ST中绒,000982
446,000983.XSHE,西山煤电,000983
447,000985.XSHE,大庆华科,000985
448,000987.XSHE,越秀金控,000987
449,000988.XSHE,华工科技,000988
450,000989.XSHE,九芝堂,000989
451,000990.XSHE,诚志股份,000990
452,000993.XSHE,闽东电力,000993
453,000995.XSHE,*ST皇台,000995
454,000996.XSHE,中国中期,000996
455,000997.XSHE,新大陆,000997
456,000998.XSHE,隆平高科,000998
457,000999.XSHE,华润三九,000999
458,001696.XSHE,宗申动力,001696
459,001872.XSHE,招商港口,001872
460,001896.XSHE,豫能控股,001896
461,001965.XSHE,招商公路,001965
462,001979.XSHE,招商蛇口,001979
463,002001.XSHE,新和成,002001
464,002002.XSHE,鸿达兴业,002002
465,002003.XSHE,伟星股份,002003
466,002004.XSHE,华邦健康,002004
467,002005.XSHE,德豪润达,002005
468,002006.XSHE,精功科技,002006
469,002007.XSHE,华兰生物,002007
470,002008.XSHE,大族激光,002008
471,002009.XSHE,天奇股份,002009
472,002010.XSHE,传化智联,002010
473,002011.XSHE,盾安环境,002011
474,002012.XSHE,凯恩股份,002012
475,002013.XSHE,中航机电,002013
476,002014.XSHE,永新股份,002014
477,002015.XSHE,霞客环保,002015
478,002016.XSHE,世荣兆业,002016
479,002017.XSHE,东信和平,002017
480,002018.XSHE,*ST华信,002018
481,002019.XSHE,亿帆医药,002019
482,002020.XSHE,京新药业,002020
483,002021.XSHE,中捷资源,002021
484,002022.XSHE,科华生物,002022
485,002023.XSHE,海特高新,002023
486,002024.XSHE,苏宁易购,002024
487,002025.XSHE,航天电器,002025
488,002026.XSHE,山东威达,002026
489,002027.XSHE,分众传媒,002027
490,002028.XSHE,思源电气,002028
491,002029.XSHE,七匹狼,002029
492,002030.XSHE,达安基因,002030
493,002031.XSHE,巨轮智能,002031
494,002032.XSHE,苏泊尔,002032
495,002033.XSHE,丽江旅游,002033
496,002034.XSHE,旺能环境,002034
497,002035.XSHE,华帝股份,002035
498,002036.XSHE,联创电子,002036
499,002037.XSHE,久联发展,002037
500,002038.XSHE,双鹭药业,002038
501,002039.XSHE,黔源电力,002039
502,002040.XSHE,南京港,002040
503,002041.XSHE,登海种业,002041
504,002042.XSHE,华孚时尚,002042
505,002043.XSHE,兔宝宝,002043
506,002044.XSHE,美年健康,002044
507,002045.XSHE,国光电器,002045
508,002046.XSHE,轴研科技,002046
509,002047.XSHE,宝鹰股份,002047
510,002048.XSHE,宁波华翔,002048
511,002049.XSHE,紫光国微,002049
512,002050.XSHE,三花智控,002050
513,002051.XSHE,中工国际,002051
514,002052.XSHE,同洲电子,002052
515,002053.XSHE,云南能投,002053
516,002054.XSHE,德美化工,002054
517,002055.XSHE,得润电子,002055
518,002056.XSHE,横店东磁,002056
519,002057.XSHE,中钢天源,002057
520,002058.XSHE,威尔泰,002058
521,002059.XSHE,云南旅游,002059
522,002060.XSHE,粤水电,002060
523,002061.XSHE,浙江交科,002061
524,002062.XSHE,宏润建设,002062
525,002063.XSHE,远光软件,002063
526,002064.XSHE,华峰氨纶,002064
527,002065.XSHE,东华软件,002065
528,002066.XSHE,瑞泰科技,002066
529,002067.XSHE,景兴纸业,002067
530,002068.XSHE,黑猫股份,002068
531,002069.XSHE,獐子岛,002069
532,002070.XSHE,*ST众和,002070
533,002071.XSHE,长城影视,002071
534,002072.XSHE,凯瑞德,002072
535,002073.XSHE,软控股份,002073
536,002074.XSHE,国轩高科,002074
537,002075.XSHE,沙钢股份,002075
538,002076.XSHE,雪莱特,002076
539,002077.XSHE,大港股份,002077
540,002078.XSHE,太阳纸业,002078
541,002079.XSHE,苏州固锝,002079
542,002080.XSHE,中材科技,002080
543,002081.XSHE,金螳螂,002081
544,002082.XSHE,万邦德,002082
545,002083.XSHE,孚日股份,002083
546,002084.XSHE,海鸥住工,002084
547,002085.XSHE,万丰奥威,002085
548,002086.XSHE,ST东海洋,002086
549,002087.XSHE,新野纺织,002087
550,002088.XSHE,鲁阳节能,002088
551,002089.XSHE,新海宜,002089
552,002090.XSHE,金智科技,002090
553,002091.XSHE,江苏国泰,002091
554,002092.XSHE,中泰化学,002092
555,002093.XSHE,国脉科技,002093
556,002094.XSHE,青岛金王,002094
557,002095.XSHE,生意宝,002095
558,002096.XSHE,南岭民爆,002096
559,002097.XSHE,山河智能,002097
560,002098.XSHE,浔兴股份,002098
561,002099.XSHE,海翔药业,002099
562,002100.XSHE,天康生物,002100
563,002101.XSHE,广东鸿图,002101
564,002102.XSHE,ST冠福,002102
565,002103.XSHE,广博股份,002103
566,002104.XSHE,恒宝股份,002104
567,002105.XSHE,信隆健康,002105
568,002106.XSHE,莱宝高科,002106
